title,genres,predicted_rating
Constantine (2005),Action|Fantasy|Horror|Thriller,2.337945365
Midnight in Paris (2011),Comedy|Fantasy|Romance,2.32155413
Sin City (2005),Action|Crime|Film-Noir|Mystery|Thriller,2.316600873
Easy A (2010),Comedy|Romance,2.299982219
Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi,2.294959259
American History X (1998),Crime|Drama,2.29344304
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),Comedy,2.289325867
"Simpsons Movie, The (2007)",Animation|Comedy,2.281839839
Hugo (2011),Children|Drama|Mystery,2.243082663
Moonrise Kingdom (2012),Comedy|Drama|Romance,2.225195902
Rush Hour (1998),Action|Comedy|Crime|Thriller,2.181703206
Batman Forever (1995),Action|Adventure|Comedy|Crime,2.17432628
Speed (1994),Action|Romance|Thriller,2.172729499
True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,2.145689989
Road Trip (2000),Comedy,2.132665619
3:10 to Yuma (2007),Action|Crime|Drama|Western,2.128288947
"South Park: Bigger, Longer and Uncut (1999)",Animation|Comedy|Musical,2.119884764
Rush Hour 2 (2001),Action|Comedy,2.114113686
Stardust (2007),Adventure|Comedy|Fantasy|Romance,2.110432456
"Help, The (2011)",Drama,2.098518759
"Mask, The (1994)",Action|Comedy|Crime|Fantasy,2.091681683
"Transporter, The (2002)",Action|Crime,2.071850873
Home Alone (1990),Children|Comedy,2.068836894
"Perks of Being a Wallflower, The (2012)",Drama|Romance,2.020803234
Van Helsing (2004),Action|Adventure|Fantasy|Horror,2.012889842
In Bruges (2008),Comedy|Crime|Drama|Thriller,2.004079615
Into the Wild (2007),Action|Adventure|Drama,1.99777319
In Time (2011),Crime|Sci-Fi|Thriller,1.984886333
Resident Evil (2002),Action|Horror|Sci-Fi|Thriller,1.983651073
The Count of Monte Cristo (2002),Action|Adventure|Drama|Romance|Thriller,1.965873548
Men in Black III (M.III.B.) (M.I.B.³) (2012),Action|Comedy|Sci-Fi|IMAX,1.957161509
"League of Extraordinary Gentlemen, The (a.k.a. LXG) (2003)",Action|Fantasy|Sci-Fi,1.932146735
Miss Congeniality (2000),Comedy|Crime,1.930660915
Snatch (2000),Comedy|Crime|Thriller,1.918453156
"Hitchhiker's Guide to the Galaxy, The (2005)",Adventure|Comedy|Sci-Fi,1.911709754
12 Years a Slave (2013),Drama,1.907778618
Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi,1.906215736
Chronicle (2012),Action|Sci-Fi|Thriller,1.891718726
Mean Girls (2004),Comedy,1.890238727
Blade (1998),Action|Horror|Thriller,1.876125453
What Women Want (2000),Comedy|Romance,1.870680572
Warrior (2011),Drama,1.860283403
Crash (2004),Crime|Drama,1.841036045
Prisoners (2013),Drama|Mystery|Thriller,1.838987512
Blade II (2002),Action|Horror|Thriller,1.832916685
Charlie and the Chocolate Factory (2005),Adventure|Children|Comedy|Fantasy|IMAX,1.825644755
Bad Boys II (2003),Action|Comedy|Crime|Thriller,1.816695317
Phone Booth (2002),Drama|Thriller,1.813659503
Crank (2006),Action|Thriller,1.811393473
Unknown (2011),Drama|Mystery|Thriller,1.810668322
Jumanji (1995),Adventure|Children|Fantasy,1.806956851
Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,1.805525682
Now You See Me (2013),Crime|Mystery|Thriller,1.793738169
Stranger than Fiction (2006),Comedy|Drama|Fantasy|Romance,1.772499842
Gangs of New York (2002),Crime|Drama,1.767294869
Ice Age 2: The Meltdown (2006),Adventure|Animation|Children|Comedy,1.763766967
"Adventures of Tintin, The (2011)",Action|Animation|Mystery|IMAX,1.753650708
Dallas Buyers Club (2013),Drama,1.752594425
Pitch Black (2000),Horror|Sci-Fi|Thriller,1.750084077
Paul (2011),Adventure|Comedy|Sci-Fi,1.748317393
Surrogates (2009),Action|Sci-Fi|Thriller,1.743934548
Hanna (2011),Action|Adventure|Mystery|Thriller,1.742791681
"Devil Wears Prada, The (2006)",Comedy|Drama,1.732950145
Cinderella Man (2005),Drama|Romance,1.728105109
10 Things I Hate About You (1999),Comedy|Romance,1.721131886
"Wrestler, The (2008)",Drama,1.713686282
Seven Pounds (2008),Drama,1.710997482
Reservoir Dogs (1992),Crime|Mystery|Thriller,1.708663914
Burn After Reading (2008),Comedy|Crime|Drama,1.696669888
Dogma (1999),Adventure|Comedy|Fantasy,1.692049643
Prince of Persia: The Sands of Time (2010),Action|Adventure|Fantasy|Romance|IMAX,1.688629104
"Few Good Men, A (1992)",Crime|Drama|Thriller,1.677673766
"Game, The (1997)",Drama|Mystery|Thriller,1.677494675
Shaun of the Dead (2004),Comedy|Horror,1.673556163
Shanghai Noon (2000),Action|Adventure|Comedy|Western,1.664606764
Spy Game (2001),Action|Crime|Drama|Thriller,1.656860349
"Bank Job, The (2008)",Action|Crime|Thriller,1.648759538
A.I. Artificial Intelligence (2001),Adventure|Drama|Sci-Fi,1.635081864
Red Dragon (2002),Crime|Mystery|Thriller,1.627815628
Robin Hood (2010),Action|Adventure|Drama|Romance|War,1.623818553
Zack and Miri Make a Porno (2008),Comedy|Drama|Romance,1.621754124
Changeling (2008),Crime|Drama|Mystery,1.616858369
Apocalypto (2006),Adventure|Drama|Thriller,1.611843325
Cowboys & Aliens (2011),Action|Sci-Fi|Thriller|Western|IMAX,1.607593482
"Bourne Identity, The (1988)",Action|Adventure|Drama|Mystery|Thriller,1.604231166
"Village, The (2004)",Drama|Mystery|Thriller,1.592654143
"Ides of March, The (2011)",Drama,1.590101591
Waterworld (1995),Action|Adventure|Sci-Fi,1.585268508
Gone Baby Gone (2007),Crime|Drama|Mystery,1.584328077
Scream (1996),Comedy|Horror|Mystery|Thriller,1.579018488
Shrek the Third (2007),Adventure|Animation|Children|Comedy|Fantasy,1.576540869
Batman (1989),Action|Crime|Thriller,1.565953728
Kingdom of Heaven (2005),Action|Drama|Romance|War,1.562881703
Battlestar Galactica (2003),Drama|Sci-Fi|War,1.55939598
"Girl Next Door, The (2004)",Comedy|Romance,1.554050994
Starsky & Hutch (2004),Action|Comedy|Crime|Thriller,1.550981514
8 Mile (2002),Drama,1.543743651
Con Air (1997),Action|Adventure|Thriller,1.542539867
Talladega Nights: The Ballad of Ricky Bobby (2006),Action|Comedy,1.530966131
Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX,1.530454837
Panic Room (2002),Thriller,1.526848284
Law Abiding Citizen (2009),Drama|Thriller,1.522506022
Fantastic Mr. Fox (2009),Adventure|Animation|Children|Comedy|Crime,1.522231553
Master and Commander: The Far Side of the World (2003),Adventure|Drama|War,1.512842812
Resident Evil: Apocalypse (2004),Action|Horror|Sci-Fi|Thriller,1.512115162
Team America: World Police (2004),Action|Adventure|Animation|Comedy,1.508071159
AVP: Alien vs. Predator (2004),Action|Horror|Sci-Fi|Thriller,1.506592231
Knowing (2009),Action|Drama|Mystery|Sci-Fi|Thriller,1.502015463
Home Alone 2: Lost in New York (1992),Children|Comedy,1.498016943
Jerry Maguire (1996),Drama|Romance,1.49613474
Gattaca (1997),Drama|Sci-Fi|Thriller,1.493975378
"Secret Life of Walter Mitty, The (2013)",Adventure|Comedy|Drama,1.493468506
Crimson Tide (1995),Drama|Thriller|War,1.491634905
Blade: Trinity (2004),Action|Fantasy|Horror|Thriller,1.490232864
Vanilla Sky (2001),Mystery|Romance|Sci-Fi|Thriller,1.490062523
"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",Action|Drama|Romance,1.487172139
Machete (2010),Action|Adventure|Comedy|Crime|Thriller,1.481716339
Thank You for Smoking (2006),Comedy|Drama,1.466757236
"Next Three Days, The (2010)",Crime|Drama|Romance|Thriller,1.466095263
Fracture (2007),Crime|Drama|Mystery|Thriller,1.464159925
Rocky (1976),Drama,1.46370312
Sunshine (2007),Adventure|Drama|Sci-Fi|Thriller,1.460304089
This Is the End (2013),Action|Comedy,1.452769358
"Road, The (2009)",Adventure|Drama|Thriller,1.449465462
Body of Lies (2008),Action|Drama|Thriller,1.447272257
Knight and Day (2010),Action|Comedy|Thriller,1.442165279
S.W.A.T. (2003),Action|Thriller,1.432483045
Public Enemies (2009),Crime|Drama|Thriller,1.431740354
We Were Soldiers (2002),Action|Drama|War,1.430374795
Transporter 2 (2005),Action|Crime|Thriller,1.427417502
About Time (2013),Drama|Fantasy|Romance,1.426506168
9 (2009),Adventure|Animation|Sci-Fi,1.42610626
Cruel Intentions (1999),Drama,1.422905226
Paycheck (2003),Action|Sci-Fi|Thriller,1.422053614
End of Watch (2012),Crime|Drama|Thriller,1.419599709
Valkyrie (2008),Drama|Thriller|War,1.418627254
Clerks (1994),Comedy,1.411420415
Stargate (1994),Action|Adventure|Sci-Fi,1.410617413
"Whole Nine Yards, The (2000)",Comedy|Crime,1.409062913
Predator (1987),Action|Sci-Fi|Thriller,1.408205791
Ghost Rider (2007),Action|Fantasy|Thriller,1.406283442
EuroTrip (2004),Adventure|Comedy,1.405603058
Jay and Silent Bob Strike Back (2001),Adventure|Comedy,1.405130167
Sweeney Todd: The Demon Barber of Fleet Street (2007),Drama|Horror|Musical|Thriller,1.403936475
"Artist, The (2011)",Drama|Romance,1.401354945
Lara Croft Tomb Raider: The Cradle of Life (2003),Action|Adventure|Comedy|Romance|Thriller,1.39995989
Three Kings (1999),Action|Adventure|Comedy|Drama|War,1.398155599
Coraline (2009),Animation|Fantasy|Thriller,1.39631158
Robin Hood: Men in Tights (1993),Comedy,1.395697737
"World's End, The (2013)",Action|Comedy|Sci-Fi,1.390317014
G.I. Joe: The Rise of Cobra (2009),Action|Adventure|Sci-Fi|Thriller,1.386949276
Walk the Line (2005),Drama|Musical|Romance,1.385943423
Finding Forrester (2000),Drama,1.371022543
Babe (1995),Children|Drama,1.365307916
Clash of the Titans (2010),Action|Adventure|Drama|Fantasy,1.364116852
How to Lose a Guy in 10 Days (2003),Comedy|Romance,1.362401513
Ip Man (2008),Action|Drama|War,1.360857556
Road to Perdition (2002),Crime|Drama,1.360363987
Identity (2003),Crime|Horror|Mystery|Thriller,1.356229774
Hoop Dreams (1994),Documentary,1.349484031
Dawn of the Dead (2004),Action|Drama|Horror|Thriller,1.348208813
Die Hard 2 (1990),Action|Adventure|Thriller,1.34735842
Next (2007),Action|Sci-Fi|Thriller,1.343675396
Over the Hedge (2006),Adventure|Animation|Children|Comedy,1.34029018
Cloudy with a Chance of Meatballs (2009),Animation|Children|Fantasy|IMAX,1.339660905
Munich (2005),Action|Crime|Drama|Thriller,1.335473315
Clueless (1995),Comedy|Romance,1.330872585
Due Date (2010),Comedy,1.328731389
How the Grinch Stole Christmas (a.k.a. The Grinch) (2000),Children|Comedy|Fantasy,1.324843884
Unstoppable (2010),Action|Drama|Thriller,1.324842804
"Recruit, The (2003)",Action|Thriller,1.324532761
Date Night (2010),Action|Comedy|Romance,1.322836827
RocknRolla (2008),Action|Crime,1.320633628
Resident Evil: Extinction (2007),Action|Horror|Sci-Fi|Thriller,1.320246171
"Men Who Stare at Goats, The (2009)",Action|Comedy|Drama,1.319850685
October Sky (1999),Drama,1.31940467
"Green Hornet, The (2011)",Action|Comedy|Crime|Fantasy|Thriller|IMAX,1.309763781
Scary Movie 2 (2001),Comedy,1.290650138
Aeon Flux (2005),Action|Sci-Fi,1.286899388
Rambo (Rambo 4) (2008),Action|Drama|Thriller|War,1.285670286
Green Zone (2010),Action|Drama|Thriller|War,1.281458556
"Day the Earth Stood Still, The (2008)",Drama|Sci-Fi|Thriller|IMAX,1.280226973
"Ghost Writer, The (2010)",Drama|Mystery|Thriller,1.279200401
"Mist, The (2007)",Horror|Sci-Fi,1.276786158
K-PAX (2001),Drama|Fantasy|Mystery|Sci-Fi,1.274907895
Real Steel (2011),Action|Drama|Sci-Fi|IMAX,1.269145245
Inside Job (2010),Documentary,1.26597669
"Nutty Professor, The (1996)",Comedy|Fantasy|Romance|Sci-Fi,1.259068379
Tinker Tailor Soldier Spy (2011),Drama|Film-Noir|Thriller,1.258915891
Safety Not Guaranteed (2012),Comedy|Drama,1.254470907
Die Hard (1988),Action|Crime|Thriller,1.251978792
State of Play (2009),Crime|Drama|Thriller,1.24863971
Evan Almighty (2007),Comedy|Fantasy,1.246796393
U-571 (2000),Action|Thriller|War,1.246250931
Starship Troopers (1997),Action|Sci-Fi,1.245074389
Planet Terror (2007),Action|Horror|Sci-Fi,1.244428294
Death Proof (2007),Action|Adventure|Crime|Horror|Thriller,1.239143795
"Sum of All Fears, The (2002)",Drama|Thriller,1.238509745
Predators (2010),Action|Sci-Fi|Thriller,1.234668545
Matchstick Men (2003),Comedy|Crime|Drama,1.232293749
Along Came Polly (2004),Comedy|Romance,1.228652636
Charlie Wilson's War (2007),Comedy|Drama|War,1.227131134
Frequency (2000),Drama|Thriller,1.226783063
Evolution (2001),Comedy|Sci-Fi,1.226752823
Election (1999),Comedy,1.21899587
Contact (1997),Drama|Sci-Fi,1.214615566
Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama|Romance|War,1.208511476
Winter's Bone (2010),Drama|Thriller,1.2054502
Adventureland (2009),Comedy|Drama,1.202025638
Shoot 'Em Up (2007),Action|Comedy|Crime,1.201422703
Invictus (2009),Drama,1.200226516
Citizen Kane (1941),Drama|Mystery,1.198237232
"Shining, The (1980)",Horror,1.197956008
Wayne's World (1992),Comedy,1.196309251
"Exorcist, The (1973)",Horror|Mystery,1.194940017
Monsters vs. Aliens (2009),Animation|Sci-Fi|IMAX,1.192111938
Men of Honor (2000),Drama,1.19026979
Lemony Snicket's A Series of Unfortunate Events (2004),Adventure|Children|Comedy|Fantasy,1.189464134
Dr. Horrible's Sing-Along Blog (2008),Comedy|Drama|Musical|Sci-Fi,1.186315226
Tucker & Dale vs Evil (2010),Comedy|Horror,1.182960095
Pay It Forward (2000),Drama,1.181500821
Friends with Benefits (2011),Comedy|Romance,1.181253708
Chicken Run (2000),Animation|Children|Comedy,1.181194743
"Definitely, Maybe (2008)",Comedy|Drama|Romance,1.169013343
"Misérables, Les (2012)",Drama|Musical|Romance|IMAX,1.162850194
"Reader, The (2008)",Drama|Romance,1.160892217
Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical,1.157947758
Traffic (2000),Crime|Drama|Thriller,1.156945402
"Karate Kid, The (1984)",Drama,1.153948675
I Am Number Four (2011),Action|Sci-Fi|Thriller|IMAX,1.15314618
Scary Movie 3 (2003),Comedy|Horror,1.149706611
Jarhead (2005),Action|Drama|War,1.148291513
Back to the Future Part III (1990),Adventure|Comedy|Sci-Fi|Western,1.146306024
"Girl Who Played with Fire, The (Flickan som lekte med elden) (2009)",Action|Crime|Drama|Mystery|Thriller,1.143947621
13 Going on 30 (2004),Comedy|Fantasy|Romance,1.143763667
Rat Race (2001),Comedy,1.138110066
"Man from Earth, The (2007)",Drama|Sci-Fi,1.137321741
King Arthur (2004),Action|Adventure|Drama|War,1.136068164
Indiana Jones and the Temple of Doom (1984),Action|Adventure|Fantasy,1.131587781
"Others, The (2001)",Drama|Horror|Mystery|Thriller,1.126593745
Grindhouse (2007),Action|Crime|Horror|Sci-Fi|Thriller,1.124928674
Mr. Brooks (2007),Crime|Drama|Thriller,1.123265615
Happy Feet (2006),Adventure|Animation|Children|Comedy|IMAX,1.116666333
L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller,1.11606777
Top Gun (1986),Action|Romance,1.115713848
"Holiday, The (2006)",Comedy|Romance,1.11409631
We're the Millers (2013),Comedy|Crime,1.112568919
"Sorcerer's Apprentice, The (2010)",Action|Adventure|Children|Comedy|Fantasy,1.112259993
Death Race (2008),Action|Adventure|Sci-Fi|Thriller,1.110644532
"Fast and the Furious: Tokyo Drift, The (Fast and the Furious 3, The) (2006)",Action|Crime|Drama|Thriller,1.107779325
"Time Traveler's Wife, The (2009)",Drama|Romance|Sci-Fi,1.106532149
Runaway Jury (2003),Drama|Thriller,1.106188121
Mr. Nobody (2009),Drama|Fantasy|Romance|Sci-Fi,1.105748149
Pandorum (2009),Horror|Sci-Fi|Thriller,1.103250922
"Invention of Lying, The (2009)",Comedy,1.103035292
Star Trek: Nemesis (2002),Action|Drama|Sci-Fi|Thriller,1.102561833
Psycho (1960),Crime|Horror,1.100364382
Behind Enemy Lines (2001),Action|Drama|War,1.095855804
Coyote Ugly (2000),Comedy|Drama|Romance,1.091891042
Safe House (2012),Action|Crime|Mystery|Thriller,1.088658959
Layer Cake (2004),Crime|Drama|Thriller,1.086418175
Back to the Future Part II (1989),Adventure|Comedy|Sci-Fi,1.086373835
Babel (2006),Drama|Thriller,1.084576738
"Expendables 2, The (2012)",Action|Adventure,1.077624296
"Time Machine, The (2002)",Action|Adventure|Sci-Fi,1.076214154
"Sandlot, The (1993)",Children|Comedy|Drama,1.074253964
Goodfellas (1990),Crime|Drama,1.070690593
Shanghai Knights (2003),Action|Adventure|Comedy,1.069926894
Kick-Ass 2 (2013),Action|Comedy|Crime,1.069690705
Lucy (2014),Action|Sci-Fi,1.068684428
You Don't Mess with the Zohan (2008),Comedy,1.067994399
Ray (2004),Drama,1.064377896
Hollow Man (2000),Horror|Sci-Fi|Thriller,1.064035225
Bad Teacher (2011),Comedy,1.057340417
"Boat That Rocked, The (a.k.a. Pirate Radio) (2009)",Comedy|Drama,1.056712918
Clerks II (2006),Comedy,1.054194974
Margin Call (2011),Drama|Thriller,1.052817424
Daybreakers (2010),Action|Drama|Horror|Thriller,1.051378875
Funny People (2009),Comedy|Drama,1.043982932
Spaceballs (1987),Comedy|Sci-Fi,1.040957855
Push (2009),Sci-Fi|Thriller,1.040565882
Saving Mr. Banks (2013),Comedy|Drama,1.039872429
Bring It On (2000),Comedy,1.039202932
Harold & Kumar Escape from Guantanamo Bay (2008),Adventure|Comedy,1.038988801
"Girl Who Kicked the Hornet's Nest, The (Luftslottet som sprängdes) (2009)",Action|Crime|Mystery,1.037357959
"Santa Clause, The (1994)",Comedy|Drama|Fantasy,1.034941869
Shark Tale (2004),Animation|Children|Comedy,1.03474422
Flightplan (2005),Action|Drama|Thriller,1.028725986
Robots (2005),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi|IMAX,1.025035799
"Last King of Scotland, The (2006)",Drama|Thriller,1.023058478
"Punisher, The (2004)",Action|Crime|Thriller,1.01803318
"Thomas Crown Affair, The (1999)",Action|Mystery,1.017880101
"Hunt for Red October, The (1990)",Action|Adventure|Thriller,1.014269137
"Beach, The (2000)",Adventure|Drama,1.013815503
Milk (2008),Drama,1.012380967
Julie & Julia (2009),Comedy|Drama|Romance,1.010761538
Eastern Promises (2007),Crime|Drama|Thriller,1.010522973
"Tourist, The (2010)",Drama|Thriller,1.010250991
"Lock, Stock & Two Smoking Barrels (1998)",Comedy|Crime|Thriller,1.008768413
Sky Captain and the World of Tomorrow (2004),Action|Adventure|Sci-Fi,1.007325774
"Fountain, The (2006)",Drama|Fantasy|Romance,1.00390842
"Grey, The (2012)",Action|Drama,1.002378334
27 Dresses (2008),Comedy|Romance,1.000095023
Smokin' Aces (2006),Action|Crime|Drama|Thriller,0.999154147
He's Just Not That Into You (2009),Comedy|Drama|Romance,0.998478755
Marley & Me (2008),Comedy|Drama,0.998424985
Scarface (1983),Action|Crime|Drama,0.998400239
Clear and Present Danger (1994),Action|Crime|Drama|Thriller,0.99771155
"Number 23, The (2007)",Drama|Mystery|Thriller,0.996822848
"Happening, The (2008)",Drama|Sci-Fi|Thriller,0.994421723
Transporter 3 (2008),Action|Adventure|Crime|Thriller,0.994026614
"Negotiator, The (1998)",Action|Crime|Drama|Mystery|Thriller,0.990073704
Seabiscuit (2003),Drama,0.989830333
Gamer (2009),Action|Sci-Fi|Thriller,0.988549546
Shrek Forever After (a.k.a. Shrek: The Final Chapter) (2010),Adventure|Animation|Children|Comedy|Fantasy|IMAX,0.98649968
Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy,0.985953646
"Mechanic, The (2011)",Action|Drama|Thriller,0.985779556
Final Fantasy: The Spirits Within (2001),Adventure|Animation|Fantasy|Sci-Fi,0.985384279
Mallrats (1995),Comedy|Romance,0.982381932
Maleficent (2014),Action|Adventure|Children|IMAX,0.981350501
Warm Bodies (2013),Comedy|Horror|Romance,0.981274092
The Raid: Redemption (2011),Action|Crime,0.97834276
"Kids Are All Right, The (2010)",Comedy|Drama,0.977865124
"Imaginarium of Doctor Parnassus, The (2009)",Drama|Fantasy,0.977443348
Bedazzled (2000),Comedy,0.977070675
Outbreak (1995),Action|Drama|Sci-Fi|Thriller,0.976030938
Horton Hears a Who! (2008),Adventure|Animation|Children|Comedy,0.974913672
No Strings Attached (2011),Comedy|Romance,0.97389216
Rain Man (1988),Drama,0.97150445
"Naked Gun: From the Files of Police Squad!, The (1988)",Action|Comedy|Crime|Romance,0.970323808
Miracle (2004),Drama,0.970051096
Tarzan (1999),Adventure|Animation|Children|Drama,0.969890326
12 Angry Men (1957),Drama,0.969218946
Little Nicky (2000),Comedy,0.969048398
Dan in Real Life (2007),Comedy|Drama|Romance,0.966267296
Primer (2004),Drama|Sci-Fi,0.965951855
Vicky Cristina Barcelona (2008),Comedy|Drama|Romance,0.963862284
Brüno (Bruno) (2009),Comedy,0.961250288
Resident Evil: Afterlife (2010),Action|Horror|Sci-Fi|Thriller|IMAX,0.958537928
Blue Valentine (2010),Drama|Romance,0.956510369
Casper (1995),Adventure|Children,0.95649543
Quiz Show (1994),Drama,0.955652355
"Devil's Advocate, The (1997)",Drama|Mystery|Thriller,0.952886833
Coach Carter (2005),Drama,0.94916554
"6th Day, The (2000)",Action|Sci-Fi|Thriller,0.947491353
Dances with Wolves (1990),Adventure|Drama|Western,0.943915191
Scream 3 (2000),Comedy|Horror|Mystery|Thriller,0.943357166
Big Hero 6 (2014),Action|Animation|Comedy,0.9412697
Defiance (2008),Drama|Thriller|War,0.938811899
"Dictator, The (2012)",Comedy,0.935450747
Hook (1991),Adventure|Comedy|Fantasy,0.932083494
Bad Santa (2003),Comedy|Crime,0.928793644
"Place Beyond the Pines, The (2012)",Crime|Drama,0.928140365
Sweet Home Alabama (2002),Comedy|Romance,0.925712528
"History of Violence, A (2005)",Action|Crime|Drama|Thriller,0.923647604
Johnny English (2003),Action|Comedy|Thriller,0.923114172
Doubt (2008),Drama|Mystery,0.922878159
Drag Me to Hell (2009),Comedy|Horror,0.921674558
Boogie Nights (1997),Drama,0.917809077
"One, The (2001)",Action|Sci-Fi|Thriller,0.917620344
Fury (2014),Action|Drama|War,0.916061945
"Family Man, The (2000)",Comedy|Drama|Romance,0.912733936
"Informant!, The (2009)",Comedy|Crime|Drama|Thriller,0.911781644
"Muppets, The (2011)",Children|Comedy|Musical,0.908202006
Pocahontas (1995),Animation|Children|Drama|Musical|Romance,0.908085568
Goldfinger (1964),Action|Adventure|Thriller,0.907749356
Non-Stop (2014),Action|Mystery|Thriller,0.907665028
Chasing Amy (1997),Comedy|Drama|Romance,0.907236316
Win Win (2011),Comedy|Drama,0.907028104
"Net, The (1995)",Action|Crime|Thriller,0.906564981
"Break-Up, The (2006)",Comedy|Drama|Romance,0.905924969
"Brothers Grimm, The (2005)",Comedy|Fantasy|Horror|Thriller,0.903121991
Letters from Iwo Jima (2006),Drama|War,0.902456861
"Conjuring, The (2013)",Horror|Thriller,0.899278124
"Bone Collector, The (1999)",Thriller,0.898447642
"Animatrix, The (2003)",Action|Animation|Drama|Sci-Fi,0.898190401
Apocalypse Now (1979),Action|Drama|War,0.895501323
P.S. I Love You (2007),Comedy|Drama|Romance,0.894816235
"Princess Diaries, The (2001)",Children|Comedy|Romance,0.89399503
Jet Li's Fearless (Huo Yuan Jia) (2006),Action|Drama,0.893758898
Beverly Hills Cop (1984),Action|Comedy|Crime|Drama,0.891476751
Caddyshack (1980),Comedy,0.889336777
Dazed and Confused (1993),Comedy,0.887533443
Four Brothers (2005),Action|Crime|Drama,0.886281453
Dr. Dolittle (1998),Comedy,0.885088435
"Boy in the Striped Pajamas, The (Boy in the Striped Pyjamas, The) (2008)",Drama|War,0.883857498
"Insider, The (1999)",Drama|Thriller,0.883451947
Don Jon (2013),Comedy|Drama|Romance,0.883139056
Airplane! (1980),Comedy,0.883083949
Not Another Teen Movie (2001),Comedy,0.882718587
"Score, The (2001)",Action|Drama,0.882579876
Elektra (2005),Action|Adventure|Crime|Drama,0.881575862
Hostage (2005),Action|Crime|Drama|Thriller,0.88106026
Crank: High Voltage (2009),Action|Comedy|Crime,0.880976366
